Title,Published_date,Views,Likes,Comments
2nd Innings Highlights | Lahore Qalandars vs Multan Sultans | Match 31 | HBL PSL 8 | MI2T,2023-03-15T18:07:13Z,513364,7891,242
Rilee Rossouw Press Conference | HBL PSL 8,2023-03-15T18:00:32Z,16542,596,24
Shaheen Afridi Interview | Lahore Qalandars vs Multan Sultans | Match 31 | HBL PSL 8 | MI2T,2023-03-15T17:52:28Z,69752,2322,92
The winning moment courtesy of starboy Abbas Afridi 🤩#HBLPSL8 | #SabSitarayHumaray | #LQvMS,2023-03-15T17:43:55Z,30383,1732,18
Hello from Haris Rauf 👋#HBLPSL8 | #SabSitarayHumaray | #LQvMS,2023-03-15T17:43:53Z,419466,24644,49
LEGGIE vs LEGGIE Usama Mir wins the battle 👊#HBLPSL8 | #SabSitarayHumaray | #LQvMS,2023-03-15T17:43:51Z,13967,596,7
The Archer Ihsanullah joins the party 🏹#HBLPSL8 | #SabSitarayHumaray | #LQvMS,2023-03-15T17:43:49Z,15272,845,2
#️⃣1️⃣ wicket-taker 🥇🔝 catch 🌟Is there anything Abbas Afridi cannot do?! 🤩#HBLPSL8 | #LQvMS,2023-03-15T17:43:45Z,881860,25038,9
Oops 😬Nothing going the Qalandars' way ❌#HBLPSL8 | #SabSitarayHumaray | #LQvMS,2023-03-15T17:43:42Z,13535,584,4
The 𝐬𝐚𝐥𝐮𝐭𝐞𝐬 keep 🔛 coming for Cottrell 🫡#HBLPSL8 | #SabSitarayHumaray | #LQvMS,2023-03-15T17:43:40Z,6595,264,1
"""OH YES"" 🤤Anwar Ali with a 𝙗𝙖𝙞𝙡 𝙩𝙧𝙞𝙢𝙢𝙚𝙧 🎯#HBLPSL8 | #SabSitarayHumaray | #LQvMS",2023-03-15T17:43:37Z,12249,559,4
Cottrell wrapping things up for Tahir Baig! #HBLPSL8 | #SabSitarayHumaray | #LQvMS,2023-03-15T17:43:35Z,7973,306,3
David Wiese Press Conference | HBL PSL 8,2023-03-15T17:38:49Z,4560,167,4
